Sno,Profile,Company,Location,Start Date,Duration,Stipend,Apply By,About Internship,Skills Required,Who Can Apply,About Company
826,Influencer Sucess Manager,Flytant Developers Private Limited,Noida,Immediately,3 Months,"? 5,000 /month",27 Sep' 24,"As an Influencer Success Manager, you'll manage influencer relationships, oversee campaigns, and ensure successful partnerships. Your focus will be on onboarding influencers, managing their accounts, and optimizing campaign performance to meet our brand's objectives.
Key Responsibilities:
a. Influencer Onboarding & Account Management:
1. Onboard new influencers, ensuring they understand our brand goals and campaign requirements.
2. Build and maintain strong relationships with influencers, serving as their main point of contact.
3. Manage influencer accounts, ensuring they stay engaged and aligned with our brand strategies.
b. Campaign Oversight:
1. Coordinate influencer campaigns, ensuring content aligns with our messaging.
2. Track and report on campaign performance, providing insights for future improvements.
c. Collaboration & Compliance:
1. Work with content and marketing teams to align influencer activities with broader campaigns.
2. Negotiate contracts and ensure all influencer activities comply with legal and company guidelines.
Qualifications:
1. Bachelor's degree in Marketing, Communications, or related field.
2. Experience in influencer marketing or account management.
3. Strong communication, negotiation, and organizational skills.
4. Ability to manage multiple campaigns and analyze performance data.
What We Offer:
1. Growth and career development opportunities.
2. A creative, collaborative work environment.
3. Opportunity to be a full-time employee for Flytant on a lucrative package.","['Client Relationship', 'Effective Communication', 'Instagram Marketing', 'MS-Office', 'Sales', 'Sales pitch', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 28th Aug'24 and 2nd Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests",Flytant is a platform that connects social media influencers and brands together. We help influencers get sponsorships.
827,Reels Creator (Backend),BRYT BAZAAR,Bangalore,Immediately,3 Months,"? 30,000 lump sum",16 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Content ideation: Develop creative concepts and ideas for social media reels that align with Bryt Bazaar's brand and marketing objectives.
2. Content creation: Shoot, edit, and produce high-quality reel content for Instagram, Facebook, and other platforms.
3. Brand partnerships: Collaborate with influencers, brand ambassadors, and other partners to create engaging and impactful reels.
4. Content management: Manage the content calendar for reels, ensuring timely and consistent posting.
5. Performance tracking: Monitor and analyze the performance of reel content, including engagement metrics and viewer feedback, to optimize future content.
6. Trend analysis: Stay updated with the latest trends and best practices in reel content to ensure Bryt Bazaar's content remains fresh and relevant.",['Content Marketing'],"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 3rd Sep'24 and 16th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","Bryt Bazaar is a dynamic chain of retail stores dedicated to offering a wide range of quality products at affordable prices. Our stores provide a welcoming and convenient shopping experience, with something for everyone, from everyday essentials to unique finds. We are committed to excellent customer service and creating a community-focused environment where shopping is always a pleasure."
828,Social Media Designing,Pinki Chauhan,Dehradun,Immediately,3 Months,"? 10,000 /month",18 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Copywriting: Be an excellent copywriter who embodies and enhances the brand's voice on  social media. From witty, attention-grabbing ad copy to timely commentary, you should know how to write concise copy that speaks to your audience.
2. Efficient project management: Conceptualize campaigns and distribution rhythms, leading and executing these plans from start to finish.","['.NET', 'CorelDRAW', 'Creative Writing', 'Design Thinking', 'Fashion Designing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 4th Sep'24 and 9th Oct'24
3. are available for duration of 3 months
4.  are from or open to relocate to Dehradun
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","We are a franchisee store specializing in multiple hiring services, and connecting businesses with top talent across various industries."
829,Market Research,Agile Parking Solutions Private Limited,Mumbai,Immediately,1 Month,"? 7,000 /month +  Incentives",6 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Collect data on various parking lots across the city
2. Understand business objectives and fill out questionnaires related to parking lot characteristics and demographics
3. Talk to the parking lot attendants & operators and extract additional valuable information related to the parking lots
4. Evaluate the data collection methodology and continuously develop smarter ways to ensure that the data collected is accurate and reliable
5. Work closely with the supervisors and convey findings on parking lots and other meaningful information","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 6th Sep'24 and 11th Oct'24
3. are available for duration of 1 month
4.  are from or open to relocate to Mumbai and neighboring cities
5. have relevant skills and interests",We empower the urban commuters with a bird's eye view of all parking information. We are organizing parking lots with our fast and intuitive mobile app. Get real-time availability of the parking lots around you and make an advance reservation for an assured hassle-free parking.
830,Digital Marketing,Flickit,Bangalore,Immediately,6 Months,"? 15,000 /month",30 Sep' 24,"We are thrilled to offer an exciting opportunity for a Digital Marketing intern to join our team at Flickit, a dynamic and innovative media company.
As a Digital Marketing intern, you will have the chance to apply your knowledge and skills in Digital Marketing, Social Media Marketing, SEO, Instagram Marketing, SEM, Video Editing, and Video Making.
Key Responsibilities:
1. Assist in developing and implementing digital marketing strategies to drive brand awareness and engagement.
2. Manage and create engaging content for social media platforms to enhance our online presence.
3. Conduct keyword research and optimize website content to improve SEO performance.
4. Plan and execute Instagram marketing campaigns to reach our target audience.
5. Utilize SEM techniques to drive traffic and conversions through online advertising.
6. Develop and edit videos to create compelling visual content for our audience.
7. Collaborate with the marketing team to track and analyze campaign performance to make data-driven decisions.
If you are passionate about digital marketing and eager to gain hands-on experience in a fast-paced environment, we would love to hear from you. Join us at Flickit and be a part of our innovative team!","['Digital Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing', 'Video Editing', 'Video Making']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 31st Aug'24 and 5th Oct'24
3. are available for duration of 6 months
4.  are from or open to relocate to Bangalore
5. have relevant skills and interests","Flickit is a cutting-edge sports training platform designed to help athletes of all levels unleash their full potential. With state-of-the-art technology, expert coaching, and a supportive community, Flickit is your ultimate companion on the journey to sporting excellence."
831,Architecture,Prakash Choudhary And Associates,Gurgaon,Immediately,6 Months,"? 9,000-10,000 /month",26 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Work on the conceptualization/presentation
2. Work on design development
3. Work on coordination and site handling
4. Work on working drawings and details","['3ds Max', 'Adobe Photoshop', 'AutoCAD', 'Autodesk Revit', 'Google SketchUp']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 27th Aug'24 and 1st Oct'24
3. are available for duration of 6 months
4.  are from or open to relocate to Gurgaon and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Prakash Choudhary and Associates is engaged in multidisciplinary, full-service design practice in the fields of architecture, interior design, planning, project management, MEP services & landscape design. It is amongst the breed of young professionals who have been providing architectural and related services for discerning clients since 2006. Prakash Choudhary and Associates specializes in quality, traditional, and sustainable design, while conscientiously avoiding the development of a signature style.Our company's extensive experience in architectural design and construction has helped to develop a project delivery method that involves the client from beginning to end, allows for better control of construction costs, and more efficient management of the design process."
832,Content Writer,IIDE Education Private Limited,Mumbai,Immediately,6 Months,"? 7,500 /month",22 Sep' 24,"We are seeking an academic content developer to join our team, focusing on creating high-quality presentations for our courses. The role involves conducting comprehensive research on industry-relevant topics, brainstorming and developing new content ideas, and crafting and proofreading content prior to delivery. Additionally, the academic content developer will create content across various platforms, including our website, email campaigns, and WhatsApp, under the supervision of the reporting manager. The goal is to produce impactful presentations that effectively train our students in key digital marketing concepts.
Selected intern's day-to-day responsibilities include:
1. Conduct thorough online research, including gathering information from various sources such as studies, interviews, and online materials, to develop academic content.
2. Collaborate closely with both in-house and external subject matter experts to ensure content accuracy and relevance.
3. Participate in curriculum development and the creation of educational materials.
4. Utilize innovative and creative approaches in incorporating language, graphics, animations, interactions, audio, video, and other elements into presentations.
5. Keep content up-to-date by researching the latest trends and best practices across digital platforms.
6. Continuously improve presentation-building skills to enhance the overall learning experience.
7. Develop multiple-choice questions (MCQs), assignments, and other assessment materials based on the created modules.
8. Proofread and edit content prior to training sessions to ensure high-quality delivery.
9. Submit work for manager review and approval.
10. Coordinate with various departments as needed to maintain consistency across all content.","['Content Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-PowerPoint']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 23rd Aug'24 and 27th Sep'24
3. are available for duration of 6 months
4. have relevant skills and interests","Every human problem in recent times has been answered with a digital solution, be it Facebook, Uber, Amazon, etc. The success of these companies lies in their understanding of the importance of ensuring every digital aspect of their product is of the highest quality. Developing a successful solution requires a high level of coding, sophisticated design, a well-planned digital marketing strategy, and a viable e-commerce channel to sell the final product. Therefore, we have developed specialized schools for each of these areas to provide world-class knowledge and skills in every aspect of the digital universe."
833,Digital Marketing,LeadStrategus,Bangalore,Immediately,3 Months,"? 20,000 /month",22 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Working on digital marketing & social media outreach
2. Understanding & applying strategies to influence prospects using social media messaging
3. Crafting appropriate messages for buyers for the maximum response over LinkedIn
4. Creating high-quality, impactful content for social media posts, articles, blogs, infographics, and presentations
5. Work on Database - find out what makes an account & prospect attractive for a seller.
Additional information:
1. Get exposure to cutting-edge demand generation, holistic sales, and best marketing practices
2. Chance to begin their career as a well-rounded marketing professional working across new age & classic sales & marketing practices
3. We are a consultative strategy & marketing services firm working with marquee clients; hence, the candidates will work on live projects and will be provided hands-on training too
4. Get exposure and get trained /mentored by industry thought leaders
5. We are a caring employer; hence, your learning & well-being will be vital for us & our success
Note: We will be looking out for above-average academics, projects in new-age sales & marketing areas, and those who are serious about making a career in marketing.",['Data Analytics'],"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 7th Sep'24 and 12th Oct'24
3. are available for duration of 3 months
4.  are from or open to relocate to Bangalore
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","LeadStrategus is a B2B sales and marketing consulting and outsourcing firm. We work across the entire sales and marketing value chain - GTM, ABM, marketing training & change management, social selling, technical content writing, and sales coaching. Our service lines are GTM strategy, sales & marketing enablement, and demand generation outsourcing.We are a services firm with highly experienced and respected founders with strong domain experience. We seek to provide a friendly, nurturing, and open atmosphere for you. We work out of a top-end millennial-friendly co-working space with lots of engagement."
834,Corporate Sales,Zedex Info Private Limited,Mumbai,Immediately,3 Months,"? 12,000 /month",20 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Identify and prospect potential corporate clients to expand the company's client base
2. Develop and maintain strong relationships with existing and prospective clients to understand their IT needs and propose appropriate solutions
3. Present and demonstrate our suite of IT services and solutions effectively to key decision-makers
4. Collaborate with the technical team to create tailored proposals, quotes, and presentations based on client requirements
5. Negotiate contracts, close deals, and ensure a smooth transition of projects to the delivery team
6. Stay updated on industry trends, market conditions, and competitor activities to identify new opportunities and refine sales strategies","['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'MS-Office']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 3rd Aug'24 and 20th Sep'24
3. are available for duration of 3 months
4. have relevant skills and interests","We are primarily a resource outsourcing company that helps you recruit and retain the best talent. Our offering spans all areas of recruitment, candidate management, and technology. Our strategic approach to sourcing talent allows companies to uncover high-quality candidates while optimizing time and resources. We also offer web designing & development, SEO services, and manage websites, e-business applications & mobile apps. We are a team of experts, dynamic professional designers & developers who can create the most attractive and aesthetic websites & mobile apps."
835,Sales Consultant,Monkhub,Gurgaon,Immediately,6 Months,"? 7,000-10,000 /month",21 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Market Research & Lead Generation: Identify potential customers through research, networking, and social media
2. Client Consultation Support: Assist in understanding client needs and exploring opportunities for custom software solutions
3. Product Knowledge: Stay updated on industry trends and support in showcasing our company's expertise
4. Sales Presentations: Help prepare and deliver tailored sales presentations and demonstrations
5. Proposal Development: Collaborate with teams to assist in creating customized proposals
6. Negotiation Support: Aid in the negotiation of terms, pricing, and contracts
7. Relationship Building: Support in maintaining strong client relationships and ensuring satisfaction
8. Cross-Functional Collaboration: Work with teams to ensure successful project delivery and provide feedback to marketing and product development","['Business Analysis', 'Business Research', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Lead Generation']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 21st Aug'24 and 25th Sep'24
3. are available for duration of 6 months
4. have relevant skills and interests","Monkhub is a digital innovation company. We are passionate about developing and delivering great services. We use design thinking, creativity, innovation, and an analytical approach to solve complex problems and create a timeless experience that helps our partners positively impact their businesses, customers, and community. Our team is dedicated like monks as our ethics are hard work and integrity."
836,Video Editing/Making,Image Media World,Mumbai,Immediately,6 Months,"? 10,000 /month",6 Oct' 24,"About Us: Image Media World is a leading digital marketing agency that delivers exceptional marketing solutions. We are looking for a creative Graphic Design Intern to join our team.
Responsibilities:
Assist in creating visually appealing graphics for digital marketing campaigns.
Design social media posts, banners, and advertisements.
Help with the creation of marketing materials, including brochures and flyers.
Collaborate with the marketing team to ensure cohesive branding.
Support the development of website graphics and UI elements.
Participate in brainstorming sessions and contribute creative ideas.
Ensure all designs meet quality standards and align with brand guidelines.","['Adobe After Effects', 'Adobe Creative Suite', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Adobe Premiere Pro', 'CorelDRAW', 'Final Cut Pro', 'UI & UX Design', 'Video Editing', 'Video Making']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 6th Sep'24 and 11th Oct'24
3. are available for duration of 6 months
4.  are from or open to relocate to Mumbai and neighboring cities
5. have relevant skills and interests","At Image Media World, we are pioneers in the digital marketing landscape, leveraging the power of visuals to craft compelling narratives and deliver unparalleled digital experiences. As a cutting-edge digital marketing company, we specialize in creating visually stunning campaigns that captivate audiences, build brand awareness, and drive meaningful engagement. Our commitment to innovation, creativity, and results has established us as a leading force in the ever-evolving world of digital marketing."
837,Brand Management,The Brand Palette,Chandigarh,Immediately,6 Months,"? 8,000-15,000 /month",27 Sep' 24,"Key Responsibilities:
1. Brand Development:  Assist in the creation and refinement of brand strategies,
including positioning, messaging, and visual identity.
2. Design Support:  Collaborate with the design team to produce creative assets such as logos, packaging, social media graphics, and presentations.
3. Market Research:  Conduct research on industry trends, competitor activities, and target audiences to inform branding decisions.
4. Content Creation:  Help generate on-brand content for various platforms, including social media, websites, and marketing campaigns.
5. Project Assistance:  Support the team in managing branding projects from concept to execution, ensuring deadlines are met and quality is maintained.
6. Client Interaction:  Participate in client meetings and presentations, providing input and taking notes to help translate client feedback into actionable tasks.","['Certificate', 'Letter of recommendation', 'Informal dress code']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 28th Aug'24 and 2nd Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","We're a creative marketing agency that's different from the rest. At Brand Palette, our best results come from creative and strategic collaboration. Our collective differences make our work that much stronger, as we push each other to think bigger, better, and bolder for our clients.  We're passionate about what we do, setting goals for our clients, and never resting until we've determined a strategy that achieves incredible results. We don't stop until our clients get the results they came for and we use our years of expertise to get them there."
838,Graphic Design,Oytra,Mumbai,Immediately,3 Months,"? 8,000-10,000 /month",5 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Create infographics for online e-commerce platforms such as Amazon, Flipkart, and Meesho.
2. Design labels for products.
3. Collaborate with the e-commerce team to meet day-to-day requirements.","['Adobe Photoshop', 'Canva']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 5th Sep'24 and 10th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","Oytra is India's fastest-growing brand in art supplies. Oytra manufactures & supplies polymer clay, art resin, high-quality paints, brushes, and art tools. Polymer clay is used for making toys and jewelry and it is a great art & craft aid. Oytra's resins are one of the best resins in India."
839,Brand Management,The Brand Palette,Chandigarh,Immediately,6 Months,"? 8,000-15,000 /month",27 Sep' 24,"Key Responsibilities:
1. Brand Development:  Assist in the creation and refinement of brand strategies,
including positioning, messaging, and visual identity.
2. Design Support:  Collaborate with the design team to produce creative assets such as logos, packaging, social media graphics, and presentations.
3. Market Research:  Conduct research on industry trends, competitor activities, and target audiences to inform branding decisions.
4. Content Creation:  Help generate on-brand content for various platforms, including social media, websites, and marketing campaigns.
5. Project Assistance:  Support the team in managing branding projects from concept to execution, ensuring deadlines are met and quality is maintained.
6. Client Interaction:  Participate in client meetings and presentations, providing input and taking notes to help translate client feedback into actionable tasks.","['Certificate', 'Letter of recommendation', 'Informal dress code']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 28th Aug'24 and 2nd Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","We're a creative marketing agency that's different from the rest. At Brand Palette, our best results come from creative and strategic collaboration. Our collective differences make our work that much stronger, as we push each other to think bigger, better, and bolder for our clients.  We're passionate about what we do, setting goals for our clients, and never resting until we've determined a strategy that achieves incredible results. We don't stop until our clients get the results they came for and we use our years of expertise to get them there."
840,Graphic Design,Oytra,Mumbai,Immediately,3 Months,"? 8,000-10,000 /month",5 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Create infographics for online e-commerce platforms such as Amazon, Flipkart, and Meesho.
2. Design labels for products.
3. Collaborate with the e-commerce team to meet day-to-day requirements.","['Adobe Photoshop', 'Canva']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 5th Sep'24 and 10th Oct'24
3. are available for duration of 3 months
4. have relevant skills and interests","Oytra is India's fastest-growing brand in art supplies. Oytra manufactures & supplies polymer clay, art resin, high-quality paints, brushes, and art tools. Polymer clay is used for making toys and jewelry and it is a great art & craft aid. Oytra's resins are one of the best resins in India."
841,Sales And Marketing,Deeto Infotech,Bangalore,Immediately,1 Month,"? 5,000 /month",19 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Calling prospective clients to register with the website.
2. Following up via chat, email, and direct visits if required.","['Certificate', 'Letter of recommendation', '5 days a week']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 30th Jul'24 and 19th Sep'24
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Deeto Infotech is a dynamic software development company committed to delivering innovative and high-quality technology solutions. Our team of experienced developers and IT professionals excels at creating custom software applications, mobile apps, and comprehensive IT solutions that meet."
842,Digital Marketing,Flipzone Tech Services Private Limited,"Delhi, Ghaziabad, Gurgaon, Noida",Immediately,3 Months,"? 3,000-4,000 /month",25 Sep' 24,"Selected intern's day-to-day responsibilities include:
1.Assist in developing engaging content for various social media platforms including Facebook, Instagram, Twitter, LinkedIn.
2. : Support in tracking and analyzing social media metrics to measure the effectiveness of campaigns and provide insights for improvement
3.: Conduct research on industry trends, competitor activities, and social media best practices to inform strategy.
4. Contribute ideas for creative social media strategies and content to enhance brand presence and audience engagement.","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 17th Aug'24 and 25th Sep'24
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.",Flipzone Tech Services Private Limited is a technology-focused company that started in 2016. The founders came in together with a rich experience of about 20 years in this domain to foster the entrepreneurial idea of 'Flipzone' to bring smart devices (except mobiles) into the day-to-day life of consumers considering the evolution of technology.
843,Social Media Marketing,BDIVA,Mumbai,Immediately,6 Months,"? 5,000 /month +  Incentives",19 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Chart our social media calendar for the month
2. Create posts and content that engage the audience
3. Make Reels on a regular basis
4. Manage Pinterest, YouTube, Instagram, and Facebook","['Digital Marketing', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 3rd Sep'24 and 8th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","BDIVA is a semi-precious jewelry firm based out of Mumbai, wholesaling and retailing semi-precious jewelry. We create a unique range of jewelry for corporate gifting and promotional gifting requirements."
844,Market Research,Agile Parking Solutions Private Limited,Pune,Immediately,1 Month,"? 7,000 /month +  Incentives",6 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Collect data on various parking lots across the city
2. Understand business objectives and fill out questionnaires related to parking lot characteristics and demographics
3. Talk to the parking lot attendants & operators and extract additional valuable information related to the parking lots
4. Evaluate the data collection methodology and continuously develop smarter ways to ensure that the data collected is accurate and reliable
5. Work closely with the supervisors and convey findings on parking lots and other meaningful information","['Certificate', 'Letter of recommendation', 'Flexible work hours', '5 days a week']","Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 6th Sep'24 and 11th Oct'24
3. are available for duration of 1 month
4.  are from or open to relocate to Pune and neighboring cities
5. have relevant skills and interests",We empower the urban commuters with a bird's eye view of all parking information. We are organizing parking lots with our fast and intuitive mobile app. Get real-time availability of the parking lots around you and make an advance reservation for an assured hassle-free parking.
845,Graphic Design,Filfull Ventures Private Limited,Mumbai,Immediately,4 Months,"? 5,000-10,000 /month",6 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Designing marketing collaterals
2. Making product mocks
3. Wesbite collaterals","['Adobe Illustrator', 'Adobe Photoshop']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 6th Sep'24 and 11th Oct'24
3. are available for duration of 4 months
4.  are from or open to relocate to Mumbai and neighboring cities
5. have relevant skills and interests","Filfull is a tech-driven, inventoryless, on-demand printing and fulfillment company. Our B2B vertical caters to a large number of brands, streetwear labels, corporates, and the hospitality industry. We also have three in-house brands out of which two are apparel brands namely Whoosh and Xperr and a stationery brand Notebit."
846,Graphic Design,Cimse Group,Mumbai,Immediately,6 Months,"? 12,500-25,000 /month",11 Oct' 24,"**Job Description: Graphic Designer (Full-Time Internship)**
We are seeking a creative **Graphic Designer Intern** with at least **1.5 years of experience** to join our team. The role involves working closely with our design and marketing teams to create engaging content for digital and print platforms.
**Responsibilities:**
- Design digital assets for social media, websites, and email campaigns
- Create print materials (brochures, posters, banners)
- Assist in developing brand elements (logos, typography, color schemes)
- Edit and retouch images for marketing materials
- Stay updated on design trends
**Requirements:**
- **1.5+ years of experience** in graphic design
- **Proficiency in Adobe Suite** (Photoshop, Illustrator, InDesign)
- Strong portfolio showcasing design skills
- Attention to detail and ability to meet deadlines
- Basic understanding of UI/UX is a plus
This is a great opportunity to gain hands-on experience and grow your portfolio while working with a dynamic, collaborative team.","['Adobe After Effects', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Video Editing']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 6th Sep'24 and 11th Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","At Cimse advertisement company, we provide comprehensive advertising solutions for businesses of all sizes. We specialize in creating and managing campaigns that guarantee maximum exposure and increased ROI. Our team of experienced professionals focuses on developing unique, creative, and effective advertising strategies tailored to each individual client's needs. We strive to stay ahead of the competition by utilizing the latest technology and techniques to ensure that your message is seen and heard by the right audience. With a wide range of services, we can help you reach your goals and increase your visibility in the marketplace."
847,Event Management,Star Production,Delhi,Immediately,1 Month,"? 3,000-7,000 /month",5 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Handle the event management crew
2. Arrange all the requirements
3. Talk to our clients and vendors
4. Get new ideas and plans for events",['English Proficiency (Spoken)'],"Only those candidates can apply who:
1. are available for the part time job/internship
2. can start the part time job/internship between 5th Sep'24 and 10th Oct'24
3. are available for duration of 1 month
4.  are from or open to relocate to Delhi and neighboring cities
5. have relevant skills and interests
* Women wanting to start/restart their career can also apply.",Star Production is a multi-dimensional organization having different verticals. We are engaged in media and we make short movies. We also produce events and provide social media services to our clients.
848,Public Policy,Poll Pulse Analytics,Bangalore,Immediately,3 Months,"? 15,000-20,000 /month",3 Oct' 24,"Selected intern's day-to-day responsibilities include:
1. Conduct research and analysis on policy issues, including:
- Literature reviews and data analysis
- Stakeholder consultations and interviews
- Policy briefs, papers, and reports
2. Track policy development, including:
- Monitoring bills, amendments, and policy changes
- Analyzing policy impacts and effectiveness
3. Formulate new policies, including:
- Developing evidence-based policy recommendations
- Drafting policy briefs, papers, and proposals
4. Collaborate with stakeholders, including:
- Citizens, civil society organizations, experts, and government officials
- Building relationships and networks to inform policy decisions
5. Communicate research findings and policy recommendations, including:
- Writing clear, concise reports and briefs
- Presenting research and policy ideas to the MP and stakeholders
6. Stay up-to-date with policy developments, academic research, and best practices","['Certificate', 'Letter of recommendation', 'Job offer']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 3rd Sep'24 and 8th Oct'24
3. are available for duration of 3 months
4.  are from or open to relocate to Bangalore
5. have relevant skills and interests","We are a dynamic team of energetic and highly skilled consultants, well-versed in various domains, and dedicated to providing comprehensive political consulting services to our clients.Our Vision: An India where ethical political consulting influences governance to authentically serve its diverse communities.Our Mission: To empower our clients with the knowledge and tools they need to navigate complex political landscapes, make informed decisions, and drive meaningful change."
849,Video Editing/Making,BizExpress Advisors Private Limited,Bangalore,Immediately,6 Months,"? 7,500 /month",26 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Editing IG Reels
2. Performing color grading where needed
3. Creating basic motion graphics and 2D animation
4. Collaborating with the creative team to produce engaging and visually appealing videos/Reels for our clients","['Adobe Premiere Pro', 'Video Editing', 'Video Making']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 27th Aug'24 and 1st Oct'24
3. are available for duration of 6 months
4. have relevant skills and interests","The dynamics of business have changed tremendously; what felt impossible then is now normal. Such businesses driven by technology need professionals that have upgraded themselves with time. Traditional methods of consulting are just not good enough anymore.We are therefore building a technology-focused one-stop shop for anything finance and compliance. From setting up your business to managing it, from GST registration to fundraising (both equity and debt), we are building services that can keep pace with the demands of modern businesses. We are a team of professionals on a mission to help entrepreneurs succeed."
850,SEO Executive,IDZ Digital Private Limited,Mumbai,Immediately,3 Months,"? 8,000 /month",21 Sep' 24,"Selected intern's day-to-day responsibilities include:
1. Conduct competitor analysis to identify opportunities and trends in the industry
2. Adjust SEO strategies based on findings
3. Monitor and analyze SEO performance using tools like Google Analytics, Google Search Console","['Digital Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)']","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 22nd Aug'24 and 26th Sep'24
3. are available for duration of 3 months
4. have relevant skills and interests","IDZ Digital's humble beginnings can be traced back to 2004 when we began creating websites. In 2010, we became one of India's first mobile app developers, having launched our first app. Today, we are among the leading developers of apps and games for kids, with over 200 million downloads and over 100,000 5-star reviews.Life at IDZ Digital is stimulating, energetic, and immensely rewarding. Our team of more than 100 enthusiastic minds is always trying out new things and concepts to make our ideas come to life. We have development centers in Borivali and Thane providing a vibrant and joyful working environment. We're proud to give people a happy, open, and welcoming place to work. We give them responsibilities early on so they can work on their skills, learn faster, and move up in their careers."
